2019-10-31,247.2400054932,249.1699981689,237.2599945068,248.0153808594,up
2019-11-01,249.5399932861,255.9299926758,249.1600036621,255.0542602539,up
2019-11-04,257.3299865723,257.8500061035,255.3800048828,256.7292175293,up
2019-11-05,257.049987793,258.1900024414,256.3200073242,256.3603515625,down
2019-11-06,256.7699890137,257.4899902344,255.3699951172,256.4700012207,up
2019-11-07,258.7399902344,260.3500061035,258.1099853516,259.4299926758,up
2019-11-08,258.6900024414,260.4400024414,256.8500061035,260.1400146484,up
2019-11-11,258.299987793,262.4700012207,258.2799987793,262.200012207,up
2019-11-12,261.549987793,262.7900085449,260.9200134277,261.9599914551,down
2019-11-13,261.1300048828,264.7799987793,261.0700073242,264.4700012207,up
2019-11-14,263.75,264.8800048828,262.1000061035,262.6400146484,down
2019-11-15,263.6799926758,265.7799987793,263.0100097656,265.7600097656,up
2019-11-18,265.799987793,267.4299926758,264.2300109863,267.1000061035,up
2019-11-19,267.8999938965,268.0,265.3900146484,266.2900085449,down
2019-11-20,265.5400085449,266.0799865723,260.3999938965,263.1900024414,down
